site,handler_bias,subjectID,status,purebred,breed,breed_group,age,sex,desexed,owned_status,training,condition_order,condition,trial,valid_trial,location,choice,correct,recoded_choice
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,onecup,1,1,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,onecup,2,2,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,onecup,3,3,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,onecup,4,4,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,twocup,1,1,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,twocup,2,2,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,twocup,3,3,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,twocup,4,4,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,1,1,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,2,NA,L,NC,NA,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,3,2,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,4,3,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,5,4,L,R,0,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,6,5,L,R,0,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,7,6,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,8,7,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,nonostensive,9,8,R,R,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,ostensive,1,1,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,ostensive,2,2,R,L,0,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,ostensive,3,3,R,L,0,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,ostensive,4,4,L,L,1,NA
accc,Yes,accc_md1_01,Included,No,NA,NA,6.7,Female,Yes,Private home,4.125,nonost_first,ostensive,5,5,R,R,1,NA
