subjectID,purebred,breed,age,sex,desexed,training,condition_order,condition,trial,location,correct
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,1,R,1
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,2,L,0
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,3,R,1
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,4,L,0
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,5,L,1
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,6,R,0
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,7,L,1
messerli_md1_034,Yes,White Swiss Shepherd Dog,5,M,No,2.625,non_first,nonostensive,8,R,1
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,1,L,0
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,2,R,1
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,3,L,0
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,4,R,1
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,5,L,0
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,6,L,0
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,7,R,1
messerli_md1_035,Yes,JP_Russell_Terrier,3,M,No,2.8125,ost_first,ostensive,8,R,1
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,1,R,0
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,2,L,1
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,3,L,1
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,4,R,0
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,5,L,1
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,6,L,1
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,7,R,0
messerli_md1_036,Yes,Border_Collie,2,M,No,3.125,non_first,nonostensive,8,R,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,1,L,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,2,R,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,3,L,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,4,R,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,5,L,0
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,6,L,1
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,7,R,1
messerli_md1_037,Yes,Siberian_Husky,5,M,Yes,2.375,ost_first,ostensive,8,R,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,1,L,0
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,2,R,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,3,L,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,4,R,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,5,L,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,6,L,1
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,7,R,0
messerli_md1_038,Yes,White Swiss Shepherd Dog,4,M,No,3.4375,ost_first,ostensive,8,R,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,1,R,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,2,L,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,3,L,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,4,R,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,5,L,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,6,R,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,7,R,1
messerli_md1_039,Yes,JP_Russell_Terrier,2,F,Yes,2.875,ost_first,ostensive,8,L,0
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,1,R,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,2,L,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,3,R,0
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,4,L,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,5,L,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,6,R,0
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,7,L,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,8,R,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,1,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,2,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,3,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,4,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,5,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,6,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,7,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,8,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,1,L,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,2,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,3,L,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,4,R,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,5,L,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,6,L,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,7,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,8,R,1
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,1,R,1
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,2,L,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,3,L,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,4,R,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,5,L,0
